"Year","Cum_Int"
1983,34.2824
1984,259.551
1985,9.2628
1993,84.987
1998,17.5197
1999,25.749
2000,5.2265
2003,22.4199
2004,52.0997
2005,296.0823
2007,36.2516
2008,240.1533
2009,193.911
2011,129.0859
2012,23.9323
2013,18.2532
2014,5.705
2015,6.1596
2016,69.1443
2017,23.6746
2018,48.2616
2019,212.5163
2020,112.8443
2021,170.8332
2022,98.0616
2023,233.9293
2024,54.1509
2025,4.5615
2026,8.2446
2028,119.3874
2029,430.615
2030,379.7813
2031,225.7281
2032,122.5206
2034,191.8686
2035,172.6459
2036,186.1726
2037,40.71
2038,48.6065
2039,92.7439
2040,151.5457
2041,175.022
2042,135.4991
2043,134.5906
2044,295.1365
2045,231.2916
2046,411.2024
2047,623.0868
2048,278.9726
2049,25.2016
2050,422.9245
2051,379.4552
2053,287.2275
2054,14.062
2055,311.9462
2056,200.9733
2057,462.3376
2058,561.38
2059,193.4695
2060,820.3414
2061,810.3708
2062,298.7705
2063,326.7945
2064,29.0316
2065,307.8636
2066,669.0256
2067,634.363
2068,264.6659
2069,136.076
2070,251.0366
2071,248.3624
2072,340.5791
2073,337.9514
2074,252.8127
2075,83.0652
2076,195.0362
2077,465.0929
2078,522.7137
2079,132.1184
2080,345.0084
2081,325.9245
2082,451.5468
2083,538.7204
2084,258.1598
2085,613.3601
2086,422.071
2087,541.654
2088,154.3811
2089,269.3607
2090,302.8019
2091,379.4264
2092,73.8795
2093,529.9564
2094,65.9274
2095,249.2392
2096,18.1149
2097,386.0414
2098,138.7816
2099,376.3523
2100,132.8728
