"Year","Cum_Int"
1986,11.0808
1989,202.862
1990,341.5559
1991,209.9622
1992,130.7255
1993,21.7822
1994,22.7499
1995,82.358
1998,40.464
2002,11.5787
2003,57.4341
2004,207.682
2005,17.252
2009,149.8242
2010,28.8558
2012,54.981
2013,91.6421
2014,324.0376
2015,176.3
2016,68.7117
2017,248.22
2018,102.3793
2019,358.1617
2020,273.9231
2021,315.429
2022,165.9279
2023,367.3333
2024,484.1972
2025,838.7243
2026,727.5066
2027,439.5549
2028,269.058
2029,78.3851
2030,494.7739
2031,732.2777
2032,172.3017
2033,295.6373
2034,138.9097
2035,114.3348
2036,42.0634
2037,430.0472
2038,186.536
2039,58.0242
2040,313.4576
2041,113.9144
2042,238.1382
2043,587.6208
2044,433.4346
2045,184.868
2046,358.7011
2047,402.0643
2048,693.0053
2049,704.8653
2050,450.7443
2051,689.4788
2052,601.5714
2053,109.2343
2054,387.4729
2055,134.2118
2056,353.9943
2057,470.845
2058,217.0803
2059,269.9892
2060,601.8928
2061,829.974
2062,324.801
2063,565.9923
2064,477.2812
2065,380.2172
2066,360.599
2067,644.3762
2068,601.6792
2069,789.6409
2070,713.7459
2071,595.5456
2072,489.3011
2073,527.9233
2074,458.6575
2075,494.2613
2076,514.7364
2077,257.9687
2078,767.3056
2079,717.543
2080,636.3816
2081,644.2344
2082,517.8516
2083,302.3178
2084,299.0891
2085,511.9687
2086,135.1534
2087,221.9881
2088,428.8676
2089,124.1775
2090,162.5858
2091,410.3814
2092,542.1257
2093,672.1368
2094,565.0411
2095,807.891
2096,810.1044
2097,764.5634
2098,174.1296
2099,500.3981
2100,337.2331
