"Year","Cum_Int"
1983,6.55
1984,30.216
1985,193.9933
1986,7.9083
1988,17.5531
1989,7.2936
1990,240.371
1991,76.4005
1992,63.5135
1993,48.7375
1994,58.4313
1995,157.1804
1996,134.3946
1997,32.853
1998,10.8563
2000,25.2501
2002,12.8021
2003,12.4964
2006,14.99
2007,25.8456
2008,36.178
2009,4.567
2010,41.3025
2011,68.968
2012,112.8944
2013,146.7902
2014,333.5292
2015,129.7511
2016,151.1199
2017,510.1038
2018,510.1653
2019,226.7868
2020,8.6385
2021,158.311
2022,524.9775
2023,253.7207
2024,203.0601
2025,308.9331
2026,274.0976
2027,343.3625
2028,318.5012
2029,285.4476
2030,302.0554
2031,448.8684
2032,345.5844
2033,423.6067
2034,339.4614
2035,429.5023
2036,474.3136
2037,161.1357
2038,361.4576
2039,202.8311
2040,68.0905
2041,589.286
2042,506.7223
2043,143.2117
2044,437.1874
2045,261.3877
2046,311.4027
2047,50.1144
2048,284.3318
2049,405.8804
2050,944.693
2051,135.8244
2052,324.7998
2053,262.7418
2054,366.8301
2055,575.0575
2056,689.1702
2057,552.7096
2058,493.9749
2059,802.5561
2060,692.5038
2061,528.6839
2062,492.8763
2063,647.5644
2064,302.9626
2065,434.7532
2066,423.5054
2067,482.6892
2068,544.857
2069,822.4737
2070,861.5576
2071,491.028
2072,432.1581
2073,787.5543
2074,332.2133
2075,261.8312
2076,510.2182
2077,547.5557
2078,531.2419
2079,793.4501
2080,814.0312
2081,864.9834
2082,901.0755
2083,673.6482
2084,1048.2606
2085,897.67
2086,721.6462
2087,587.65
2088,621.6418
2089,819.9913
2090,732.1734
2091,698.9524
2092,883.7238
2093,942.5482
2094,815.3138
2095,979.0746
2096,1050.2293
2097,800.8658
2098,557.5404
2099,903.0632
2100,991.2396
