"Year","Cum_Int"
1987,11.0904
1989,9.8
1990,24.5165
1991,54.6546
1993,20.796
1994,9.493
1996,5.9196
1997,69.7152
1999,13.59
2000,134.9913
2002,4.7805
2003,77.3236
2004,34.5256
2006,141.3054
2007,132.7938
2008,38.7981
2009,27.9709
2010,13.2629
2011,136.6507
2012,554.3416
2013,336.6027
2014,84.158
2015,51.2622
2016,197.7473
2017,256.6845
2018,258.3055
2019,388.6354
2021,114.047
2022,114.2042
2023,282.7929
2024,139.3656
2025,47.9867
2026,146.7522
2027,111.6814
2028,270.6078
2029,288.7303
2030,82.5254
2031,184.6999
2032,14.8752
2033,120.447
2034,186.3083
2035,160.9657
2036,157.0635
2037,411.7921
2038,363.5192
2039,234.1136
2040,45.9048
2041,543.977
2042,537.1739
2043,753.1724
2044,270.86
2045,75.2821
2046,600.3054
2047,516.2423
2048,466.734
2049,379.2694
2050,381.4238
2051,534.9388
2052,312.9554
2053,341.0174
2054,413.5842
2055,413.8134
2056,296.4888
2057,105.3425
2058,407.791
2059,331.4614
2060,194.5722
2061,428.8939
2062,278.649
2063,238.7036
2064,221.27
2065,466.1856
2066,570.7089
2067,769.2078
2068,482.6043
2069,461.22
2070,662.8579
2071,984.4754
2072,558.6516
2073,501.0209
2074,380.6381
2075,249.0683
2076,186.6314
2077,488.8579
2078,229.5467
2079,597.849
2080,869.8722
2081,594.1423
2082,465.6806
2083,572.7265
2084,616.9702
2085,575.0427
2086,615.5134
2087,239.0345
2088,113.1935
2089,363.2918
2090,486.1868
2091,737.1366
2092,287.4536
2093,838.551
2094,794.7255
2095,476.3193
2096,792.521
2097,640.7593
2098,813.2105
2099,1093.2845
2100,794.0132
