"Year","Cum_Int"
1984,12.9708
1989,140.7881
1991,44.0199
1999,14.472
2001,8.763
2002,61.9789
2003,235.1763
2004,168.5789
2005,125.42
2008,77.7147
2009,63.7586
2010,120.6368
2011,505.8051
2012,92.1052
2013,157.145
2014,229.252
2015,352.9128
2016,138.1414
2017,459.8829
2018,761.8077
2019,328.817
2020,187.0721
2022,170.5173
2023,474.2386
2024,467.5919
2025,467.1963
2026,574.0315
2027,340.655
2028,412.1376
2029,58.6531
2030,263.0693
2031,249.9088
2032,165.7781
2033,239.6872
2034,488.9512
2035,506.7313
2036,370.9784
2037,424.7442
2038,328.2484
2039,400.9904
2040,991.6404
2041,737.9827
2042,573.3845
2043,827.1784
2044,485.785
2045,676.9916
2046,751.7679
2047,650.1856
2048,936.1182
2049,930.8413
2050,812.7553
2051,916.1402
2052,1017.0408
2053,1105.0202
2054,1568.551
2055,1568.551
2056,1572.8484
2057,1568.551
2058,1568.551
2059,1568.551
2060,1572.8484
2061,1568.551
2062,1568.551
2063,1568.551
2064,1572.8484
2065,1568.551
2066,1568.551
2067,1568.551
2068,1572.8484
2069,1568.551
2070,1568.551
2071,1568.551
2072,1572.8484
2073,1568.551
2074,1568.551
2075,1568.551
2076,1572.8484
2077,1568.551
2078,1568.551
2079,1568.551
2080,1572.8484
2081,1568.551
2082,1568.551
2083,1568.551
2084,1572.8484
2085,1568.551
2086,1568.551
2087,1568.551
2088,1572.8484
2089,1568.551
2090,1568.551
2091,1568.551
2092,1572.8484
2093,1568.551
2094,1568.551
2095,1568.551
2096,1572.8484
2097,1568.551
2098,1568.551
2099,1568.551
2100,1568.551
