"Year","Cum_Int"
1984,15.7102
1987,41.3652
1988,56.1321
1989,22.6745
1992,17.094
1993,9.592
1994,33.7896
1995,23.397
1996,24.966
1997,13.332
1999,7.9175
2001,324.5598
2002,353.5088
2003,13.7357
2004,162.3346
2005,150.3129
2006,13.178
2007,12.8084
2008,112.7021
2009,32.893
2010,7.5594
2011,36.5816
2012,139.8092
2013,52.3386
2014,161.3766
2015,130.9157
2016,40.3778
2017,82.3905
2018,226.4838
2019,274.8308
2020,548.1786
2021,580.3928
2022,324.9858
2023,321.9026
2024,214.5967
2025,32.9889
2026,113.1405
2027,427.9451
2028,476.7733
2029,127.2739
2030,636.0679
2031,147.5541
2032,635.1377
2033,666.436
2034,195.98
2035,388.4942
2036,694.9025
2037,220.6347
2038,202.8998
2039,174.3223
2040,493.5704
2041,516.4948
2042,661.1781
2043,360.209
2044,595.5227
2045,752.7826
2046,655.409
2047,698.9598
2048,822.6787
2049,827.674
2050,545.7624
2051,437.5124
2052,442.5538
2053,636.1696
2054,626.8569
2055,315.5033
2056,434.046
2057,831.3102
2058,915.7056
2059,794.0404
2060,1032.8154
2061,1029.9935
2062,1029.9935
2063,984.8828
2064,915.8418
2065,913.3395
2066,665.2374
2067,999.495
2068,1029.7743
2069,1209.4275
2070,1209.4275
2071,1209.4275
2072,1212.741
2073,1209.4275
2074,1154.7699
2075,1192.7835
2076,1196.0514
2077,1192.7835
2078,1192.7835
2079,824.7087
2080,1214.571
2081,1211.2525
2082,1211.2525
2083,1211.2525
2084,1214.571
2085,1211.2525
2086,1211.2525
2087,1211.2525
2088,1214.571
2089,1211.2525
2090,1211.2525
2091,1177.8905
2092,1324.005
2093,1320.3875
2094,1320.3875
2095,1320.3875
2096,1324.005
2097,1320.3875
2098,1320.3875
2099,1305.4801
2100,1314.4745
