"Year","Cum_Int"
1983,8.9138
1984,34.1672
1990,3.6111
1991,40.9258
1996,119.6914
1998,53.3403
1999,158.8848
2000,191.8842
2001,43.9513
2002,112.7617
2003,69.6679
2004,135.0823
2005,22.8446
2006,25.7502
2011,38.9997
2012,107.7012
2013,59.3042
2014,286.0836
2015,223.0292
2016,110.9054
2017,277.1094
2018,129.2399
2019,322.9179
2020,302.3874
2021,399.7886
2022,281.1679
2023,335.0934
2024,444.6582
2025,515.3499
2026,223.6233
2027,338.6146
2028,228.3809
2029,342.209
2030,466.7347
2031,609.0026
2032,293.1414
2033,393.0621
2034,442.6573
2035,314.6197
2036,524.53
2037,535.1265
2038,317.0322
2039,628.7855
2040,630.5082
2041,628.7855
2042,586.4989
2043,368.0765
2044,621.6414
2045,504.8503
2046,466.8267
2047,159.8522
2048,478.4944
2049,497.462
2050,276.2449
2051,522.8537
2052,565.9104
2053,354.9624
2054,376.1038
2055,622.5331
2056,758.169
2057,756.0975
2058,756.0975
2059,756.0975
2060,758.169
2061,626.3686
2062,631.5595
2063,594.6186
2064,722.8866
2065,720.9115
2066,720.9115
2067,760.7649
2068,877.5582
2069,875.1605
2070,875.1605
2071,875.1605
2072,877.5582
2073,875.1605
2074,875.1605
2075,875.1605
2076,877.5582
2077,875.1605
2078,875.1605
2079,875.1605
2080,877.5582
2081,875.1605
2082,875.1605
2083,875.1605
2084,877.5582
2085,875.1605
2086,875.1605
2087,875.1605
2088,901.3658
2089,1092.8465
2090,1092.8465
2091,1092.8465
2092,1095.8406
2093,1092.8465
2094,1092.8465
2095,1092.8465
2096,1095.8406
2097,1092.8465
2098,1092.8465
2099,1092.8465
2100,1092.8465
