"Model","Year","ssp126","ssp245","ssp585"
"ACCESS-CM2",2020,80.7253,132.2561,187.0721
"ACCESS-CM2",2021,327.5842,123.71,0
"ACCESS-CM2",2022,319.4492,63.9915,170.5173
"ACCESS-CM2",2023,300.2273,123.3954,474.2386
"ACCESS-CM2",2024,551.9288,73.1204,467.5919
"ACCESS-CM2",2025,302.9256,155.9359,467.1963
"ACCESS-CM2",2026,286.9263,395.0764,574.0315
"ACCESS-CM2",2027,532.5809,513.8295,340.655
"ACCESS-CM2",2028,622.2161,573.5047,412.1376
"ACCESS-CM2",2029,651.1602,560.5076,58.6531
"ACCESS-CM2",2030,428.4236,503.2577,263.0693
"ACCESS-CM2",2031,492.1108,662.7316,249.9088
"ACCESS-CM2",2032,575.0018,319.2736,165.7781
"ACCESS-CM2",2033,369.3343,598.5328,239.6872
"ACCESS-CM2",2034,532.1781,878.5666,488.9512
"ACCESS-CM2",2035,437.6694,298.3637,506.7313
"ACCESS-CM2",2036,436.1044,270.9584,370.9784
"ACCESS-CM2",2037,141.4674,152.5254,424.7442
"ACCESS-CM2",2038,301.2114,415.2093,328.2484
"ACCESS-CM2",2039,398.2551,460.0278,400.9904
"ACCESS-CM2",2040,307.613,654.3312,991.6404
"ACCESS-CM2",2041,732.1095,688.9305,737.9827
"ACCESS-CM2",2042,757.2203,827.7854,573.3845
"ACCESS-CM2",2043,548.4934,381.2224,827.1784
"ACCESS-CM2",2044,731.8972,855.8708,485.785
"ACCESS-CM2",2045,442.663,949.1126,676.9916
"ACCESS-CM2",2046,695.9675,490.915,751.7679
"ACCESS-CM2",2047,585.2588,554.4893,650.1856
"ACCESS-CM2",2048,678.0936,755.8044,936.1182
"ACCESS-CM2",2049,615.3571,745.3713,930.8413
"ACCESS-CM2",2050,659.3342,524.9648,812.7553
"ACCESS-CM2",2051,689.4972,919.413,916.1402
"ACCESS-CM2",2052,624.2179,566.6635,1017.0408
"ACCESS-CM2",2053,646.6581,625.8766,1105.0202
"ACCESS-CM2",2054,688.4006,933.5144,1568.551
"ACCESS-CM2",2055,787.6079,962.9044,1568.551
"ACCESS-CM2",2056,940.24,978.1812,1572.8484
"ACCESS-CM2",2057,911.624,1105.731,1568.551
"ACCESS-CM2",2058,768.2106,1105.731,1568.551
"ACCESS-CM2",2059,892.863,881.4252,1568.551
"ACCESS-CM2",2060,722.5307,756.3023,1572.8484
"ACCESS-CM2",2061,897.656,1126.404,1568.551
"ACCESS-CM2",2062,757.2615,441.5437,1568.551
"ACCESS-CM2",2063,1007.108,646.1132,1568.551
"ACCESS-CM2",2064,1009.8672,836.2041,1572.8484
"ACCESS-CM2",2065,838.2224,875.0145,1568.551
"ACCESS-CM2",2066,957.4315,893.2331,1568.551
"ACCESS-CM2",2067,957.4315,994.406,1568.551
"ACCESS-CM2",2068,774.7387,952.5041,1572.8484
"ACCESS-CM2",2069,806.9962,879.7398,1568.551
"ACCESS-CM2",2070,963.454,972.0315,1568.551
"ACCESS-CM2",2071,898.736,941.4276,1568.551
"ACCESS-CM2",2072,756.231,972.5352,1572.8484
"ACCESS-CM2",2073,792.712,931.739,1568.551
"ACCESS-CM2",2074,542.238,1083.977,1568.551
"ACCESS-CM2",2075,641.4178,1083.977,1568.551
"ACCESS-CM2",2076,564.7092,1086.9468,1572.8484
"ACCESS-CM2",2077,791.3777,1083.977,1568.551
"ACCESS-CM2",2078,940.678,1083.977,1568.551
"ACCESS-CM2",2079,862.5326,1083.977,1568.551
"ACCESS-CM2",2080,303.4823,757.4346,1572.8484
"ACCESS-CM2",2081,881.1214,829.1622,1568.551
"ACCESS-CM2",2082,963.004,823.9982,1568.551
"ACCESS-CM2",2083,1070.1716,941.043,1568.551
"ACCESS-CM2",2084,1100.2326,678.4114,1572.8484
"ACCESS-CM2",2085,1097.2265,699.1652,1568.551
"ACCESS-CM2",2086,944.3759,1023.168,1568.551
"ACCESS-CM2",2087,576.6165,1016.975,1568.551
"ACCESS-CM2",2088,970.9248,1057.8498,1572.8484
"ACCESS-CM2",2089,968.272,1054.9595,1568.551
"ACCESS-CM2",2090,968.272,1054.9595,1568.551
"ACCESS-CM2",2091,968.272,1065.2446,1568.551
"ACCESS-CM2",2092,871.6912,1146.495,1572.8484
"ACCESS-CM2",2093,856.7892,1143.3625,1568.551
"ACCESS-CM2",2094,954.5092,1143.3625,1568.551
"ACCESS-CM2",2095,444.4553,1143.3625,1568.551
"ACCESS-CM2",2096,552.5197,1146.495,1572.8484
"ACCESS-CM2",2097,630.1526,1143.3625,1568.551
"ACCESS-CM2",2098,903.594,1143.3625,1568.551
"ACCESS-CM2",2099,971.4987,1143.3625,1568.551
"ACCESS-CM2",2100,999.0327,1143.3625,1568.551
"ACCESS-ESM1-5",2020,284.823,132.6114,297.6636
"ACCESS-ESM1-5",2021,384.5739,33.0731,59.0911
"ACCESS-ESM1-5",2022,6.8999,0,239.1294
"ACCESS-ESM1-5",2023,24.4854,48.6575,70.7215
"ACCESS-ESM1-5",2024,285.9614,160.0371,289.1349
"ACCESS-ESM1-5",2025,515.1516,131.0749,445.3983
"ACCESS-ESM1-5",2026,342.656,441.7476,450.973
"ACCESS-ESM1-5",2027,408.0471,383.9234,329.8073
"ACCESS-ESM1-5",2028,418.5567,174.2258,784.0818
"ACCESS-ESM1-5",2029,641.097,42.8127,781.9395
"ACCESS-ESM1-5",2030,688.755,210.1721,707.143
"ACCESS-ESM1-5",2031,552.836,157.8941,361.2724
"ACCESS-ESM1-5",2032,814.0572,394.8679,400.2759
"ACCESS-ESM1-5",2033,745.107,345.377,495.869
"ACCESS-ESM1-5",2034,375.2281,370.8478,418.2483
"ACCESS-ESM1-5",2035,546.1052,222.1252,607.0692
"ACCESS-ESM1-5",2036,609.6683,326.6336,786.351
"ACCESS-ESM1-5",2037,662.2535,537.033,443.0463
"ACCESS-ESM1-5",2038,547.5508,479.4796,604.5353
"ACCESS-ESM1-5",2039,693.427,307.5074,652.887
"ACCESS-ESM1-5",2040,352.0406,123.6132,543.2817
"ACCESS-ESM1-5",2041,471.3239,507.2706,534.1365
"ACCESS-ESM1-5",2042,749.71,337.8319,484.6705
