"taxa","year_cut","landed_weight"
"Abalones",2000,314369
"Abalones",2001,263551
"Abalones",2002,275290
"Abalones",2003,334613
"Abalones",2004,329345
"Abalones",2005,335553
"Abalones",2006,373218
"Abalones",2007,365539
"Abalones",2008,382820
"Abalones",2009,374724
"Abalones",2010,292217
"Abalones",2011,206978
"Abalones",2012,229465
"Abalones",2013,192575
"Cucumbers",2000,384713
"Cucumbers",2001,330094
"Cucumbers",2002,290459
"Cucumbers",2003,200822
"Cucumbers",2004,383257
"Cucumbers",2005,414732
"Cucumbers",2006,457214.2
"Cucumbers",2007,387515.7
"Cucumbers",2008,366502
"Cucumbers",2009,431586
"Cucumbers",2010,307858
"Cucumbers",2011,289440
"Cucumbers",2012,287143
"Cucumbers",2013,99340
"Lobster",2000,1725120
"Lobster",2001,1423303
"Lobster",2002,1544444
"Lobster",2003,1736791
"Lobster",2004,1363627
"Lobster",2005,1461144
"Lobster",2006,1617617.02
"Lobster",2007,1299311.52
"Lobster",2008,1723176
"Lobster",2009,1595458
"Lobster",2010,1466294
"Lobster",2011,2175292
"Lobster",2012,2031418
"Lobster",2013,1763356
"Sandbass",2000,1140698
"Sandbass",2001,644679
"Sandbass",2002,1238443
"Sandbass",2003,1479025
"Sandbass",2004,1579537
"Sandbass",2005,1328397
"Sandbass",2006,1365324
"Sandbass",2007,1417909
"Sandbass",2008,1691274
"Sandbass",2009,2174671
"Sandbass",2010,1420128
"Sandbass",2011,1744219
"Sandbass",2012,1653309
"Sandbass",2013,1762704
"Sheephead",2000,43542
"Sheephead",2001,65349
"Sheephead",2002,98109
"Sheephead",2003,88098
"Sheephead",2004,134046
"Sheephead",2005,151936
"Sheephead",2006,162077.5
"Sheephead",2007,157619.98
"Sheephead",2008,111612
"Sheephead",2009,154158
"Sheephead",2010,170569
"Sheephead",2011,221293
"Sheephead",2012,135074
"Sheephead",2013,139226
"Urchins",2000,2748073
"Urchins",2001,2251897
"Urchins",2002,2064704
"Urchins",2003,1829739
"Urchins",2004,1915809
"Urchins",2005,1901710
"Urchins",2006,1626986.05
"Urchins",2007,1786001.1
"Urchins",2008,2035955
"Urchins",2009,2676206
"Urchins",2010,2777979
"Urchins",2011,2943504
"Urchins",2012,3184257
"Urchins",2013,3389308
